TeamID,Team,Season
1,'ARI',2021
2,'ATL',2021
3,'BAL',2021
4,'BOS',2021
5,'CHC',2021
6,'CHW',2021
7,'CIN',2021
8,'CLE',2021
9,'COL',2021
10,'DET',2021
11,'HOU',2021
12,'KCR',2021
13,'LAA',2021
14,'LAD',2021
15,'MIA',2021
16,'MIL',2021
17,'MIN',2021
18,'NYM',2021
19,'NYY',2021
20,'OAK',2021
21,'PHI',2021
22,'PIT',2021
23,'SDP',2021
24,'SEA',2021
25,'SFG',2021
26,'STL',2021
27,'TBR',2021
28,'TEX',2021
29,'TOR',2021
30,'WSN',2021
1,'ARI',2022
2,'ATL',2022
3,'BAL',2022
4,'BOS',2022
5,'CHC',2022
6,'CHW',2022
7,'CIN',2022
8,'CLE',2022
9,'COL',2022
10,'DET',2022
11,'HOU',2022
12,'KCR',2022
13,'LAA',2022
14,'LAD',2022
15,'MIA',2022
16,'MIL',2022
17,'MIN',2022
18,'NYM',2022
19,'NYY',2022
20,'OAK',2022
21,'PHI',2022
22,'PIT',2022
23,'SDP',2022
24,'SEA',2022
25,'SFG',2022
26,'STL',2022
27,'TBR',2022
28,'TEX',2022
29,'TOR',2022
30,'WSN',2022
1,'ARI',2023
2,'ATL',2023
3,'BAL',2023
4,'BOS',2023
5,'CHC',2023
6,'CHW',2023
7,'CIN',2023
8,'CLE',2023
9,'COL',2023
10,'DET',2023
11,'HOU',2023
12,'KCR',2023
13,'LAA',2023
14,'LAD',2023
15,'MIA',2023
16,'MIL',2023
17,'MIN',2023
18,'NYM',2023
19,'NYY',2023
20,'OAK',2023
21,'PHI',2023
22,'PIT',2023
23,'SDP',2023
24,'SEA',2023
25,'SFG',2023
26,'STL',2023
27,'TBR',2023
28,'TEX',2023
29,'TOR',2023
30,'WSN',2023
